"","x"
"11","Full NameDeepak Lokandersingh ChaharBornAugust 07, 1992, Agra, Uttar PradeshAge30y 84dAlso Known AsDeepak ChaharBatting StyleRight hand BatBowling StyleRight arm MediumPlaying RoleBowlerRELATIONSRD Chahar (cousin)TEAMSIndiaBikaner Desert ChallengersChennai Super KingsIndia AIndian Board President's XIRajasthanRajasthan RoyalsRising Pune SupergiantsDeepak Chahar is a classical swing bowler who added T20 street smarts to his game to hold the record for the best bowling figures in all T20Is: 6 for 7 against Bangladesh in 2019-20. After making a sensational first-class cricket debut for Rajasthan in 2010-11 - 8 for 10 in Hyderabad's score of 21 all out - Chahar struggled with injuries and fitness, which was probably the reason why Greg Chappell, director of cricket at Rajasthan, had turned him down two years previously. Chahar proceeded to rediscover himself as a T20 bowler, blossoming under the captaincy of MS Dhoni in Chennai Super Kings' triumphant return to IPL in 2018. A bowler in the mould of Praveen Kumar and Bhuvneshwar Kumar, Chahar learnt swing bowling in the coaching academy of his father, who would make sure his son bowled only with the new ball despite the financial strain procuring so many new balls brought. Dhoni shrewdly used him with the new ball, often bowling three overs of his in the Powerplay, but Chahar kept working on his other skills and turned himself into a capable bowler at the death, which was evident in his world-record effort: four of his six wickets, including a hat-trick, came with a wet old ball in dewy conditions, against Bangladesh in November 2019. 
View more"
"12","Full NameRahul Desraj ChaharBornAugust 04, 1999, Bharaatpur, RajasthanAge23y 87dBatting StyleRight hand BatBowling StyleLegbreak GooglyPlaying RoleBowlerRELATIONSDL Chahar (cousin)TEAMSIndiaIndia AIndia CIndia GreenIndia Under-19sIndia Under-23sIndian Board President's XIMumbai IndiansPunjab KingsRajasthanRajasthan Under-16sRajasthan Under-19sRajasthan Under-22sRest of IndiaRising Pune SupergiantServicesLegspinner Rahul Chahar was a key member of Mumbai Indians' two IPL title-winning sides at the end of the 2010s. He took 28 wickets in the wins in 2019 and 2020, playing nearly all the team's games. The year after, fresh off two T20Is against England, when Mumbai had a middling season, he did just as well, taking 13 wickets and finishing as their second most prolific wicket-taker.Like many leggies who make an impact in T20, Chahar is not a big turner of the ball, but has good loop and drift, and makes subtle use of his variations in length and pace.Like his cousin Deepak, Chahar plays for Rajasthan in the Ranji Trophy, for whom he made his first-class and List A debuts in 2016-17. Two seasons on, though the team had a dismal outing in the Vijay Hazare Trophy, Chahar was third on the wicket-takers' list for the tournament, with 20.
View more"
"13","Full NameHarleen DeolBornJune 21, 1998, Chandigarh, PunjabAge24y 131dBatting StyleRight hand BatBowling StyleRight arm Offbreak, Legbreak GooglyPlaying RoleMiddle order BatterTEAMSHimachal Pradesh WomenIndia A WomenIndia WomenSupernovasTrailblazers"
"14","Full NameShikhar DhawanBornDecember 05, 1985, DelhiAge36y 329dBatting StyleLeft hand BatBowling StyleRight arm OffbreakPlaying RoleOpening BatterTEAMSIndiaDeccan ChargersDelhiDelhi CapitalsDelhi Under-16sIndia AIndia BIndia BlueIndia Emerging PlayersIndia GreenIndia MastersIndia RedIndia SeniorsIndia Under-19sIndian Board President's XIMumbai AMumbai IndiansNorth ZonePunjab KingsRest of IndiaSunrisers HyderabadUWI Vice Chancellor's XIShikhar Dhawan stunned all observers, and Australia, when he stroked his way to the fastest Test century by a debutant. That debut, in Mohali in 2012-13, came to Dhawan in his ninth year of first-class cricket after he had been written off by almost everybody, not least because India's opening combination had been fixed to the most prolific combination in their Test history: Virender Sehwag and Gautam Gambhir.Dhawan is one in a long line of stroke-players from Delhi, which became the Indian batting capital in the 2000s. He stands upright in his stance, is a bit stiff with his hands when he pushes forward, and is partial to the cover-drive. Those who played domestic cricket with him say he is supremely confident, bordering on showmanship. He is also a flamboyant personality with his ever-changing looks and the twirled moustache.However, the attractive strokes, which were apparent even in the 2003-04 Under-19 World Cup where he was the Player of the Tournament for scoring 505 runs at 84.16 with three centuries, didn't seem to translate into huge seasons in Ranji Trophy. His average stayed steady in the mid-40s, but he didn't quite dare the selectors to overlook him. After lukewarm showing in the IPL and five ODIs, and with the Test openers going well, it seemed Dhawan would be left consigned to domestic cricket and T20 leagues.Fortune turned, though, and both Sehwag and Gambhir lost form dramatically, giving Dhawan a chance at the age of 27 with 81 caps and 5679 first-class runs to his name already. Dhawan grabbed the chance with arguably the best debut by an Indian batsman, smashing 187 off 174 balls to set up India's win in a Test that was reduced to four days. He was picked in India's squad for the Champions Trophy soon after, and carried his sizzling form into that tournament with two centuries in the side's first two matches.Dhawan's form later tailed off in England and Australia in 2014 but he hit back with 412 runs at 51.50 in India's run to the 2015 World Cup semi-finals.
Sidharth MongaView more"
"15","Full NameRuturaj Dashrat GaikwadBornJanuary 31, 1997, Pune, MaharashtraAge25y 272dBatting StyleRight hand BatBowling StyleRight arm OffbreakPlaying RoleBatterTEAMSIndiaChennai Super KingsIndia AIndia BIndia BlueIndia Emerging TeamIndia Under-23sIndian Board President's XIMaharashtraMaharashtra Under-16sMaharashtra Under-19sMaharashtra Under-22sRuturaj Gaikwad entered the Indian cricket fan's consciousness with a bang in 2021, when he made a whopping 635 runs for title winners Chennai Super Kings. The previous season the franchise had taken a punt on Gaikwad as one for the future, slotting him in as an anchoring opener who could attack when needed. They gave him six games and he showed what he was capable of, with over 200 runs. Towards the pointy end of the 2021 tournament, Gaikwad made 70 in the qualifier against Delhi Capitals and put on a partnership of 61 with Faf du Plessis in the final, taking CSK to 192, which turned out to be plenty. Fresh off that success, he captained Maharashtra in the Syed Mushtaq Ali T20 tournament and made 259 runs.Gaikwad's first-class, List A and T20 debuts came in 2016-17, and he shone in the middle format, with 444 runs, the third highest in the Vijay Hazare Trophy that year. He showed he had the game for all requirements when he produced 187 not out against Sri Lanka A in a List A game June 2019, and later in the year, a hundred and a fifty against Chhatisgarh in the Ranji Trophy.
View more"
"16","Full NameRajeshwari Shivanand GayakwadBornJune 01, 1991, Bijapur, KarnatakaAge31y 151dBatting StyleRight hand BatBowling StyleSlow Left arm OrthodoxPlaying RoleBowlerTEAMSIndia WomenKarnataka WomenTrailblazers"
"17","Full NameRicha Manabendra GhoshBornSeptember 28, 2003, Siliguri, West BengalAge19y 32dBatting StyleRight hand BatBowling StyleRight arm MediumFielding PositionWicketkeeperPlaying RoleWicketkeeper BatterTEAMSHobart Hurricanes WomenIndia WomenTrailblazers"
"18","Full NameJhulan Nishit GoswamiBornNovember 25, 1982, Nadia, BengalAge39y 339dAlso Known AsBabulBatting StyleRight hand BatBowling StyleRight arm MediumPlaying RoleBowlerTEAMSAsia Women XIBengal WomenEast Zone WomenIndia Green WomenIndia WomenTrailblazersIf the BCCI were to institute a 'Hall of Fame' for women's cricket in India, Jhulan Goswami would certainly feature. A decade and a half since bursting onto the scene, Goswami, one of the fastest bowlers in the women's game till not too long ago, has reaped rewards through control and minute deviations off the pitch. In May, she surpassed Cathryn Fitzpatrick to become the highest wicket-taker in women's ODI history.  Now, she doubles up as a mentor to a young group of fast bowlers coming through the ranks in India.She was earmarked for a leadership role when she was named vice-captain of the national team ahead of the tour of England in 2006. There, she helped India to the Test series win, including their first victory against England, making a fifty as nightwatchman in the first Test at Leicester and taking her career-best match figures of 10 for 78 - 5 for 33 and 5 for 45 - in the second Test at Taunton. Such feats made her the Player of the Series and also brought recognition at the Castrol Awards in Mumbai in September, where she received a Special Award. Further to that, she won the ICC Women's Player of Year in 2007 - a year no Indian male player bagged any individual award. Soon after, she was elevated as captain of the national team.  Then in 2010, she was conferred with the prestigious Arjuna Award. A Padma Shri followed two years later.Bowling exploits aside, Goswami is a more-than-handy lower-order batsman. Goswami partnered Mithali Raj for a better part of her record-breaking 214 against England at Taunton in 2002. The pair added 157, with Goswami chipping in with 62. England was also the scene of India's one-off Test win in 2014, where Goswami triggered the hosts' slide with a four-wicket haul to set up the win. In 2015, she was one of four senior players who were handed the highest grade of central contracts by BCCI for the first time.
View more"
"19","Full NameDayalan HemalathaBornSeptember 29, 1994, Madras (now Chennai), Tamil NaduAge28y 31dBatting StyleRight hand BatBowling StyleRight arm OffbreakPlaying RoleTop order BatterTEAMSIndia WomenTamil Nadu WomenTrailblazers"
"20","Full NameDeepak Jagbir HoodaBornApril 19, 1995, RohtakAge27y 194dBatting StyleRight hand BatBowling StyleRight arm OffbreakPlaying RoleAllrounderTEAMSIndiaBarodaBaroda Cricket Association XIKings XI PunjabLucknow Super GiantsRajasthan RoyalsSunrisers HyderabadAn allrounder who can bat in any position, Deepak Hooda also bowls offbreaks, offers plenty of athleticism as a boundary fielder, and is an asset in any T20 side. His big hitting as a 19-year-old in his debut IPL season, in 2015, earned with the nickname ""Hurricane Hooda"", but more importantly, got him a Rs 4.2 crore (US$ 622,000 approx) contract with Sunrisers Hyderabad at the next auction. Hooda's game is also suited to the longer formats. Appointed Baroda's captain at the start of the 2016-17 Ranji season, he reeled off three consecutive hundreds, including an unbeaten 293 against Punjab, but struggled to convert his starts thereafter. In 2021, Baroda suspended him for indiscipline after he left the T20 squad, having accused captain Krunal Pandya of ""bullying"" and using abusive language. He moved to Rajasthan the next season.But Hooda patched things up with Pandya before the start of the 2022 IPL, and had a breakout season for Lucknow Super Giants under Pandya's captaincy. Immediately after, he scored his maiden T20I hundred - in only his third innings - against Ireland in Malahide and found himself included in the 2022 T20 World Cup squad. 
View more"
