"age","year","childs","zodiac"
41,2014,2,"aries"
32,2014,0,"cancer"
58,2014,2,"sagittarius"
72,2014,3,"aquarius"
66,2014,2,"sagittarius"
21,2014,0,"leo"
45,2014,1,"gemini"
58,2014,0,"sagittarius"
50,2014,2,"leo"
55,2014,1,"pisces"
43,2014,1,"libra"
31,2014,1,"gemini"
30,2014,1,"capricorn"
42,2014,6,"leo"
25,2014,4,NA
59,2014,1,"capricorn"
80,2014,4,"sagittarius"
58,2014,0,"gemini"
40,2014,6,"capricorn"
78,2014,1,"pisces"
78,2014,2,"pisces"
46,2014,3,"capricorn"
43,2014,2,NA
81,2014,3,"virgo"
63,2014,3,"virgo"
48,2014,2,NA
48,2014,2,"taurus"
57,2014,3,"virgo"
29,2014,1,"aries"
30,2014,1,"capricorn"
29,2014,0,"sagittarius"
50,2014,5,NA
61,2014,2,"aquarius"
30,2014,0,"pisces"
32,2014,2,"virgo"
18,2014,0,"aries"
85,2014,4,"virgo"
51,2014,0,"aries"
26,2014,2,NA
38,2014,1,"aries"
39,2014,3,NA
20,2014,0,NA
39,2014,3,"libra"
57,2014,2,"libra"
87,2014,2,"aries"
81,2014,5,"capricorn"
31,2014,1,"aquarius"
61,2014,3,"aquarius"
31,2014,1,"sagittarius"
61,2014,1,"pisces"
39,2014,2,"cancer"
84,2014,0,"aquarius"
54,2014,0,"taurus"
26,2014,0,"gemini"
84,2014,2,"pisces"
60,2014,2,"virgo"
43,2014,0,"capricorn"
65,2014,0,"aquarius"
34,2014,0,"gemini"
78,2014,2,"pisces"
85,2014,1,"sagittarius"
73,2014,2,"aquarius"
25,2014,0,"cancer"
30,2014,0,"taurus"
46,2014,3,"leo"
28,2014,1,"aquarius"
40,2014,5,"pisces"
25,2014,0,"taurus"
55,2014,2,"leo"
19,2014,0,"capricorn"
31,2014,4,"pisces"
33,2014,3,"capricorn"
27,2014,0,"cancer"
62,2014,2,"leo"
70,2014,2,"aries"
58,2014,0,"scorpio"
54,2014,1,"virgo"
50,2014,1,"virgo"
36,2014,2,"virgo"
34,2014,2,"leo"
19,2014,0,"scorpio"
39,2014,4,"pisces"
66,2014,4,"scorpio"
73,2014,2,"sagittarius"
53,2014,0,"sagittarius"
41,2014,2,"taurus"
35,2014,0,"scorpio"
23,2014,1,"leo"
74,2014,4,"aries"
36,2014,3,"pisces"
23,2014,2,"aries"
64,2014,0,"sagittarius"
39,2014,0,"aries"
82,2014,2,"gemini"
50,2014,3,"taurus"
74,2014,3,"sagittarius"
45,2014,1,"aquarius"
47,2014,4,"libra"
69,2014,2,"taurus"
36,2014,2,"scorpio"
38,2014,3,"aries"
42,2014,1,"capricorn"
70,2014,2,"libra"
70,2014,2,"virgo"
53,2014,3,"pisces"
65,2014,0,"gemini"
29,2014,0,"scorpio"
28,2014,0,"taurus"
63,2014,2,"pisces"
35,2014,2,"sagittarius"
35,2014,4,"capricorn"
50,2014,1,"pisces"
57,2014,1,"libra"
40,2014,1,"aries"
32,2014,0,"capricorn"
30,2014,0,"aries"
30,2014,0,"virgo"
49,2014,3,"gemini"
58,2014,1,"sagittarius"
24,2014,0,"cancer"
49,2014,5,"sagittarius"
66,2014,1,"virgo"
43,2014,2,"aquarius"
67,2014,2,"leo"
69,2014,2,"cancer"
65,2014,3,"libra"
52,2014,0,"leo"
63,2014,2,"cancer"
60,2014,3,"virgo"
20,2014,0,"gemini"
49,2014,4,"aquarius"
36,2014,1,"cancer"
23,2014,0,"pisces"
19,2014,0,"taurus"
57,2014,4,"pisces"
33,2014,NA,"aquarius"
39,2014,1,"pisces"
33,2014,2,"libra"
38,2014,1,"scorpio"
57,2014,4,"scorpio"
23,2014,0,"aries"
46,2014,5,"libra"
23,2014,0,"sagittarius"
55,2014,3,"virgo"
22,2014,0,"leo"
70,2014,6,"aquarius"
27,2014,0,"aquarius"
58,2014,2,"cancer"
55,2014,4,"virgo"
36,2014,2,"aries"
65,2014,0,"pisces"
64,2014,0,"scorpio"
41,2014,3,"aries"
58,2014,3,"sagittarius"
52,2014,4,"aries"
63,2014,2,"capricorn"
70,2014,2,"capricorn"
63,2014,0,"aries"
31,2014,1,"aries"
88,2014,3,"aquarius"
60,2014,1,NA
34,2014,0,"aries"
35,2014,1,"aries"
72,2014,3,"capricorn"
77,2014,6,"virgo"
49,2014,4,"libra"
38,2014,1,"virgo"
40,2014,0,"aries"
37,2014,3,"gemini"
35,2014,0,"cancer"
62,2014,1,"capricorn"
32,2014,0,"capricorn"
70,2014,2,"virgo"
44,2014,2,"sagittarius"
60,2014,2,"taurus"
57,2014,1,"virgo"
55,2014,0,"virgo"
39,2014,0,"scorpio"
52,2014,7,"virgo"
22,2014,0,"capricorn"
42,2014,2,"virgo"
25,2014,0,"scorpio"
42,2014,0,"virgo"
46,2014,3,"virgo"
89,2014,3,"cancer"
18,2014,0,"taurus"
41,2014,0,"taurus"
56,2014,0,"gemini"
45,2014,1,"libra"
25,2014,0,"taurus"
24,2014,0,"aries"
25,2014,0,"scorpio"
66,2014,0,"cancer"
36,2014,0,"virgo"
65,2014,0,"capricorn"
44,2014,0,NA
78,2014,0,"libra"
59,2014,2,"scorpio"
65,2014,2,"gemini"
41,2014,4,NA
60,2014,0,"sagittarius"
50,2014,1,"scorpio"
66,2014,0,"virgo"
65,2014,NA,"leo"
31,2014,0,"sagittarius"
32,2014,0,"libra"
28,2014,0,"gemini"
29,2014,1,"aquarius"
71,2014,1,"leo"
44,2014,0,"taurus"
31,2014,1,"aries"
65,2014,0,"capricorn"
72,2014,2,"scorpio"
45,2014,2,"scorpio"
19,2014,0,"virgo"
23,2014,0,"aquarius"
55,2014,2,"cancer"
74,2014,5,"capricorn"
60,2014,0,"aries"
38,2014,0,"aquarius"
75,2014,2,"pisces"
55,2014,0,"sagittarius"
28,2014,0,"gemini"
75,2014,4,"aries"
28,2014,2,"leo"
24,2014,0,"leo"
53,2014,1,"leo"
40,2014,1,"scorpio"
55,2014,2,"pisces"
70,2014,3,"capricorn"
52,2014,3,"leo"
63,2014,4,"aquarius"
69,2014,2,"aries"
38,2014,2,"libra"
63,2014,0,"aries"
43,2014,0,"virgo"
31,2014,3,"virgo"
60,2014,2,"pisces"
59,2014,3,"libra"
54,2014,2,"gemini"
38,2014,2,"virgo"
47,2014,2,"libra"
54,2014,0,NA
25,2014,0,"capricorn"
34,2014,2,"cancer"
54,2014,2,"virgo"
57,2014,0,"pisces"
21,2014,0,"gemini"
66,2014,2,"sagittarius"
69,2014,3,"virgo"
50,2014,2,"capricorn"
65,2014,2,"taurus"
74,2014,4,"leo"
68,2014,2,"leo"
65,2014,1,"pisces"
54,2014,2,"virgo"
63,2014,2,"virgo"
66,2014,1,"sagittarius"
40,2014,2,"scorpio"
71,2014,3,"pisces"
36,2014,3,"virgo"
58,2014,2,"capricorn"
37,2014,2,"gemini"
51,2014,2,"sagittarius"
60,2014,5,"aquarius"
34,2014,1,"capricorn"
34,2014,1,NA
69,2014,0,"aries"
68,2014,2,"sagittarius"
32,2014,3,"virgo"
74,2014,0,"leo"
31,2014,3,"leo"
